"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"MCF7_TNF.rda","MCF7 cells treated with TNF for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/MCF7_TNF.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/MCF7_TNF.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
"MCF7_EGF.rda","MCF7 cells treated with EGF for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/MCF7_EGF.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/MCF7_EGF.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
"MCF7_TGFB1.rda","MCF7 cells treated with TGFB1 for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/MCF7_TGFB1.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/MCF7_TGFB1.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
"OVCA420_TNF.rda","OVCA420 cells treated with TNF for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/OVCA420_TNF.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/OVCA420_TNF.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
"OVCA420_EGF.rda","OVCA420 cells treated with EGF for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/OVCA420_EGF.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/OVCA420_EGF.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
"OVCA420_TGFB1.rda","OVCA420 cells treated with TGFB1 for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/OVCA420_TGFB1.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/OVCA420_TGFB1.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
"DU145_TNF.rda","DU145 cells treated with TNF for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/DU145_TNF.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/DU145_TNF.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
"DU145_EGF.rda","DU145 cells treated with EGF for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/DU145_EGF.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/DU145_EGF.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
"DU145_TGFB1.rda","DU145 cells treated with TGFB1 for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/DU145_TGFB1.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/DU145_TGFB1.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
"A549_TNF.rda","A549 cells treated with TNF for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/A549_TNF.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/A549_TNF.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
"A549_EGF.rda","A549 cells treated with EGF for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/A549_EGF.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/A549_EGF.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
"A549_TGFB1.rda","A549 cells treated with TGFB1 for various periods of time","3.21","Homo sapiens","rda","https://zenodo.org/records/17604490/files/A549_TGFB1.rda?download=1","June 11 2019","Homo sapiens",9606,TRUE,"David P. Cook","David P. Cook <dpcook.lab@gmail.com>","SingleCellExperiment","RDS","EMTscoreData/data-raw/downloaded/A549_TGFB1.rda","scRNA-seq;Homo sapiens;SingleCellExperiment;EMT"
